period,area_code,area_name,gender,geography,age,n
2018-06-30,E01006104,Trafford 017A,Persons,LSOA,0,13
2018-06-30,E01006105,Trafford 017B,Females,LSOA,0,17
2018-06-30,E01006105,Trafford 017B,Males,LSOA,0,23
2018-06-30,E01006105,Trafford 017B,Persons,LSOA,0,40
2018-06-30,E01006106,Trafford 017C,Females,LSOA,0,18
2018-06-30,E01006106,Trafford 017C,Males,LSOA,0,17
2018-06-30,E01006106,Trafford 017C,Persons,LSOA,0,35
2018-06-30,E01006107,Trafford 017D,Females,LSOA,0,8
2018-06-30,E01006107,Trafford 017D,Males,LSOA,0,13
2018-06-30,E01006107,Trafford 017D,Persons,LSOA,0,21
2018-06-30,E01006108,Trafford 017E,Females,LSOA,0,8
2018-06-30,E01006108,Trafford 017E,Males,LSOA,0,23
2018-06-30,E01006108,Trafford 017E,Persons,LSOA,0,31
2018-06-30,E01006109,Trafford 001A,Females,LSOA,0,14
2018-06-30,E01006109,Trafford 001A,Males,LSOA,0,17
2018-06-30,E01006109,Trafford 001A,Persons,LSOA,0,31
2018-06-30,E01006110,Trafford 001B,Females,LSOA,0,9
2018-06-30,E01006110,Trafford 001B,Males,LSOA,0,16
2018-06-30,E01006110,Trafford 001B,Persons,LSOA,0,25
2018-06-30,E01006111,Trafford 001C,Females,LSOA,0,11
2018-06-30,E01006111,Trafford 001C,Males,LSOA,0,14
2018-06-30,E01006111,Trafford 001C,Persons,LSOA,0,25
2018-06-30,E01006112,Trafford 001D,Females,LSOA,0,9
2018-06-30,E01006112,Trafford 001D,Males,LSOA,0,11
2018-06-30,E01006112,Trafford 001D,Persons,LSOA,0,20
2018-06-30,E01006113,Trafford 004A,Females,LSOA,0,10
2018-06-30,E01006113,Trafford 004A,Males,LSOA,0,12
2018-06-30,E01006113,Trafford 004A,Persons,LSOA,0,22
2018-06-30,E01006114,Trafford 004B,Females,LSOA,0,7
2018-06-30,E01006114,Trafford 004B,Males,LSOA,0,17
2018-06-30,E01006114,Trafford 004B,Persons,LSOA,0,24
2018-06-30,E01006115,Trafford 004C,Females,LSOA,0,13
2018-06-30,E01006115,Trafford 004C,Males,LSOA,0,11
2018-06-30,E01006115,Trafford 004C,Persons,LSOA,0,24
2018-06-30,E01006116,Trafford 002A,Females,LSOA,0,7
2018-06-30,E01006116,Trafford 002A,Males,LSOA,0,6
2018-06-30,E01006116,Trafford 002A,Persons,LSOA,0,13
2018-06-30,E01006117,Trafford 002B,Females,LSOA,0,7
2018-06-30,E01006117,Trafford 002B,Males,LSOA,0,10
2018-06-30,E01006117,Trafford 002B,Persons,LSOA,0,17
2018-06-30,E01006118,Trafford 002C,Females,LSOA,0,8
2018-06-30,E01006118,Trafford 002C,Males,LSOA,0,6
2018-06-30,E01006118,Trafford 002C,Persons,LSOA,0,14
2018-06-30,E01006119,Trafford 002D,Females,LSOA,0,6
2018-06-30,E01006119,Trafford 002D,Males,LSOA,0,7
2018-06-30,E01006119,Trafford 002D,Persons,LSOA,0,13
2018-06-30,E01006120,Trafford 010A,Females,LSOA,0,13
2018-06-30,E01006120,Trafford 010A,Males,LSOA,0,6
2018-06-30,E01006120,Trafford 010A,Persons,LSOA,0,19
2018-06-30,E01006121,Trafford 002E,Females,LSOA,0,9
2018-06-30,E01006121,Trafford 002E,Males,LSOA,0,3
2018-06-30,E01006121,Trafford 002E,Persons,LSOA,0,12
2018-06-30,E01006122,Trafford 005A,Females,LSOA,0,6
2018-06-30,E01006122,Trafford 005A,Males,LSOA,0,9
2018-06-30,E01006122,Trafford 005A,Persons,LSOA,0,15
2018-06-30,E01006123,Trafford 005B,Females,LSOA,0,4
2018-06-30,E01006123,Trafford 005B,Males,LSOA,0,6
2018-06-30,E01006123,Trafford 005B,Persons,LSOA,0,10
2018-06-30,E01006124,Trafford 005C,Females,LSOA,0,3
2018-06-30,E01006124,Trafford 005C,Males,LSOA,0,8
2018-06-30,E01006124,Trafford 005C,Persons,LSOA,0,11
2018-06-30,E01006125,Trafford 007A,Females,LSOA,0,6
2018-06-30,E01006125,Trafford 007A,Males,LSOA,0,7
2018-06-30,E01006125,Trafford 007A,Persons,LSOA,0,13
2018-06-30,E01006126,Trafford 007B,Females,LSOA,0,16
2018-06-30,E01006126,Trafford 007B,Males,LSOA,0,11
2018-06-30,E01006126,Trafford 007B,Persons,LSOA,0,27
2018-06-30,E01006127,Trafford 007C,Females,LSOA,0,10
2018-06-30,E01006127,Trafford 007C,Males,LSOA,0,11
2018-06-30,E01006127,Trafford 007C,Persons,LSOA,0,21
2018-06-30,E01006128,Trafford 005D,Females,LSOA,0,8
2018-06-30,E01006128,Trafford 005D,Males,LSOA,0,6
2018-06-30,E01006128,Trafford 005D,Persons,LSOA,0,14
2018-06-30,E01006129,Trafford 010B,Females,LSOA,0,6
2018-06-30,E01006129,Trafford 010B,Males,LSOA,0,8
2018-06-30,E01006129,Trafford 010B,Persons,LSOA,0,14
2018-06-30,E01006130,Trafford 007D,Females,LSOA,0,7
2018-06-30,E01006130,Trafford 007D,Males,LSOA,0,14
2018-06-30,E01006130,Trafford 007D,Persons,LSOA,0,21
2018-06-30,E01006131,Trafford 005E,Females,LSOA,0,4
2018-06-30,E01006131,Trafford 005E,Males,LSOA,0,10
2018-06-30,E01006131,Trafford 005E,Persons,LSOA,0,14
2018-06-30,E01006132,Trafford 007E,Females,LSOA,0,7
2018-06-30,E01006132,Trafford 007E,Males,LSOA,0,12
2018-06-30,E01006132,Trafford 007E,Persons,LSOA,0,19
2018-06-30,E01006133,Trafford 010C,Females,LSOA,0,1
2018-06-30,E01006133,Trafford 010C,Males,LSOA,0,3
2018-06-30,E01006133,Trafford 010C,Persons,LSOA,0,4
2018-06-30,E01006141,Trafford 003A,Females,LSOA,0,10
2018-06-30,E01006141,Trafford 003A,Males,LSOA,0,5
2018-06-30,E01006141,Trafford 003A,Persons,LSOA,0,15
2018-06-30,E01006142,Trafford 011A,Females,LSOA,0,11
2018-06-30,E01006142,Trafford 011A,Males,LSOA,0,11
2018-06-30,E01006142,Trafford 011A,Persons,LSOA,0,22
2018-06-30,E01006143,Trafford 011B,Females,LSOA,0,8
2018-06-30,E01006143,Trafford 011B,Males,LSOA,0,9
2018-06-30,E01006143,Trafford 011B,Persons,LSOA,0,17
2018-06-30,E01006144,Trafford 011C,Females,LSOA,0,9
2018-06-30,E01006144,Trafford 011C,Males,LSOA,0,7
2018-06-30,E01006144,Trafford 011C,Persons,LSOA,0,16
2018-06-30,E01006145,Trafford 004D,Females,LSOA,0,14
2018-06-30,E01006145,Trafford 004D,Males,LSOA,0,14
2018-06-30,E01006145,Trafford 004D,Persons,LSOA,0,28
2018-06-30,E01006146,Trafford 004E,Females,LSOA,0,9
2018-06-30,E01006146,Trafford 004E,Males,LSOA,0,13
2018-06-30,E01006146,Trafford 004E,Persons,LSOA,0,22
2018-06-30,E01006147,Trafford 012A,Females,LSOA,0,9
2018-06-30,E01006147,Trafford 012A,Males,LSOA,0,6
2018-06-30,E01006147,Trafford 012A,Persons,LSOA,0,15
2018-06-30,E01006148,Trafford 016A,Females,LSOA,0,11
2018-06-30,E01006148,Trafford 016A,Males,LSOA,0,5
2018-06-30,E01006148,Trafford 016A,Persons,LSOA,0,16
2018-06-30,E01006149,Trafford 012B,Females,LSOA,0,7
2018-06-30,E01006149,Trafford 012B,Males,LSOA,0,8
2018-06-30,E01006149,Trafford 012B,Persons,LSOA,0,15
2018-06-30,E01006150,Trafford 012C,Females,LSOA,0,12
2018-06-30,E01006150,Trafford 012C,Males,LSOA,0,10
2018-06-30,E01006150,Trafford 012C,Persons,LSOA,0,22
2018-06-30,E01006151,Trafford 016B,Females,LSOA,0,2
2018-06-30,E01006151,Trafford 016B,Males,LSOA,0,8
2018-06-30,E01006151,Trafford 016B,Persons,LSOA,0,10
2018-06-30,E01006152,Trafford 016C,Females,LSOA,0,1
2018-06-30,E01006152,Trafford 016C,Males,LSOA,0,2
2018-06-30,E01006152,Trafford 016C,Persons,LSOA,0,3
2018-06-30,E01006153,Trafford 016D,Females,LSOA,0,6
2018-06-30,E01006153,Trafford 016D,Males,LSOA,0,2
2018-06-30,E01006153,Trafford 016D,Persons,LSOA,0,8
2018-06-30,E01006154,Trafford 012D,Females,LSOA,0,17
2018-06-30,E01006154,Trafford 012D,Males,LSOA,0,11
2018-06-30,E01006154,Trafford 012D,Persons,LSOA,0,28
2018-06-30,E01006155,Trafford 006A,Females,LSOA,0,11
2018-06-30,E01006155,Trafford 006A,Males,LSOA,0,15
2018-06-30,E01006155,Trafford 006A,Persons,LSOA,0,26
2018-06-30,E01006156,Trafford 008A,Females,LSOA,0,9
2018-06-30,E01006156,Trafford 008A,Males,LSOA,0,9
2018-06-30,E01006156,Trafford 008A,Persons,LSOA,0,18
2018-06-30,E01006157,Trafford 006B,Females,LSOA,0,15
2018-06-30,E01006157,Trafford 006B,Males,LSOA,0,21
2018-06-30,E01006157,Trafford 006B,Persons,LSOA,0,36
2018-06-30,E01006158,Trafford 008B,Females,LSOA,0,13
2018-06-30,E01006158,Trafford 008B,Males,LSOA,0,13
2018-06-30,E01006158,Trafford 008B,Persons,LSOA,0,26
2018-06-30,E01006159,Trafford 006C,Females,LSOA,0,11
2018-06-30,E01006159,Trafford 006C,Males,LSOA,0,10
2018-06-30,E01006159,Trafford 006C,Persons,LSOA,0,21
2018-06-30,E01006160,Trafford 015B,Females,LSOA,0,5
2018-06-30,E01006160,Trafford 015B,Males,LSOA,0,14
2018-06-30,E01006160,Trafford 015B,Persons,LSOA,0,19
2018-06-30,E01006161,Trafford 015C,Females,LSOA,0,9
2018-06-30,E01006161,Trafford 015C,Males,LSOA,0,15
2018-06-30,E01006161,Trafford 015C,Persons,LSOA,0,24
2018-06-30,E01006162,Trafford 015D,Females,LSOA,0,5
2018-06-30,E01006162,Trafford 015D,Males,LSOA,0,10
2018-06-30,E01006162,Trafford 015D,Persons,LSOA,0,15
2018-06-30,E01006163,Trafford 015E,Females,LSOA,0,14
2018-06-30,E01006163,Trafford 015E,Males,LSOA,0,19
2018-06-30,E01006163,Trafford 015E,Persons,LSOA,0,33
2018-06-30,E01006164,Trafford 014C,Females,LSOA,0,10
2018-06-30,E01006164,Trafford 014C,Males,LSOA,0,12
2018-06-30,E01006164,Trafford 014C,Persons,LSOA,0,22
2018-06-30,E01006165,Trafford 012E,Females,LSOA,0,15
2018-06-30,E01006165,Trafford 012E,Males,LSOA,0,21
2018-06-30,E01006165,Trafford 012E,Persons,LSOA,0,36
2018-06-30,E01006166,Trafford 013A,Females,LSOA,0,9
2018-06-30,E01006166,Trafford 013A,Males,LSOA,0,9
2018-06-30,E01006166,Trafford 013A,Persons,LSOA,0,18
2018-06-30,E01006167,Trafford 019D,Males,LSOA,0,9
2018-06-30,E01006167,Trafford 019D,Persons,LSOA,0,15
2018-06-30,E01006169,Trafford 013B,Females,LSOA,0,12
2018-06-30,E01006169,Trafford 013B,Males,LSOA,0,11
